Index,City,Country
1,12856,65
2,36939,27
3,15849,18
4,2642,7
5,39209,140
6,36482,167
7,22025,232
8,19077,3
9,31951,187
10,13244,214
11,23936,41
12,14576,68
13,42216,205
14,14705,69
15,33735,17
16,33850,66
17,22439,236
18,21085,150
19,9479,183
20,24210,80
21,10709,189
22,7263,240
23,9995,18
24,6990,14
25,45601,122
26,24458,182
27,12177,208
28,8651,130
29,34266,241
30,24738,114
31,17115,234
32,16015,117
33,16253,143
34,46154,183
35,44137,224
36,18337,112
37,2798,213
38,30831,200
39,34649,15
40,32082,188
41,18588,15
42,34336,192
43,12130,104
44,33769,10
45,20443,75
46,28612,212
47,16196,218
48,18605,198
49,2307,33
50,41561,114
51,9975,179
52,34278,203
53,6955,35
54,26941,8
55,44154,157
56,47331,82
57,38655,216
58,31689,178
59,34005,67
60,46296,239
61,46234,192
62,21547,25
63,23296,111
64,29512,167
65,8386,158
66,40272,131
67,7347,146
68,4356,66
69,1536,99
70,43135,73
71,25929,106
72,26519,93
73,5457,32
74,37233,171
75,15282,45
76,8705,105
77,17724,77
78,11867,213
79,17174,152
80,14148,231
81,34589,237
82,14031,240
83,23246,136
84,27121,182
85,17084,163
86,26667,222
87,20207,10
88,12821,218
89,36655,89
90,32611,117
91,6034,139
92,36253,139
93,16669,102
94,1411,99
95,36374,28
96,5373,79
97,10243,205
98,8477,5
99,13926,150
100,30527,147
101,43671,220
102,5359,81
103,48155,50
104,15328,218
105,11943,149
106,8939,194
107,31428,136
108,2831,111
109,35120,183
110,5903,198
111,22469,153
112,41183,55
113,27846,112
114,31910,13
115,27233,207
116,10794,98
117,29628,49
118,32026,101
119,10650,152
120,258,213
121,43419,148
122,10826,235
123,10550,175
124,18149,227
125,13116,122
126,779,121
127,39375,123
128,37870,79
129,29282,106
130,27359,204
131,30740,91
132,39692,30
133,24727,70
134,15564,69
135,13644,192
136,45328,187
137,4915,89
138,38411,31
139,14990,95
140,3528,237
141,29777,232
142,9199,28
143,30310,116
144,36903,226
145,35977,24
146,4633,133
147,11120,198
148,17488,62
149,19242,26
150,23659,87
151,2858,150
152,13597,172
153,20194,238
154,33891,43
155,40075,111
156,30817,168
157,25137,8
158,5248,216
159,46418,189
160,10448,203
161,31542,83
162,38593,113
163,7043,31
164,2425,53
165,22216,215
166,36920,211
167,35492,49
168,42483,203
169,42978,81
170,5079,45
171,24712,115
172,37570,95
173,20311,89
174,15851,92
175,28373,0
176,43658,175
177,18751,171
178,29,140
179,24534,144
180,6965,77
181,46817,213
182,32013,207
183,40288,160
184,3348,56
185,4505,234
186,26862,99
187,11827,211
188,19265,196
189,40088,203
190,36005,11
191,1461,219
192,11243,113
193,12349,8
194,26149,93
195,6219,240
196,2230,235
197,20768,161
198,29973,231
199,32144,63
200,2620,137
201,30335,146
202,4625,28
203,8369,210
204,42534,89
205,24008,222
206,22557,50
207,27910,225
208,7575,155
209,43713,173
210,14187,184
211,5211,171
212,26437,25
213,35427,189
214,30841,147
215,6080,136
216,17912,121
217,3508,148
218,15652,121
219,48291,82
220,16682,204
221,44877,167
222,16381,107
223,25173,182
224,22417,78
225,20394,140
226,23802,1
227,8851,206
228,41688,86
229,30258,225
230,42357,95
231,15064,212
232,3589,49
233,19057,232
234,27600,4
235,12462,239
236,21540,109
237,3236,2
238,25214,82
239,23243,78
240,35436,213
241,23889,134
242,37987,86
243,625,145
244,3746,203
245,26586,141
246,31659,154
247,3650,139
248,28008,167
249,954,242
250,214,235
251,26209,93
252,36163,207
253,31509,88
254,24667,155
255,23463,144
256,8465,68
257,35263,124
258,10231,101
259,38301,34
260,20876,42
261,38076,57
262,37674,18
263,21728,44
264,11640,4
265,13989,112
266,29076,94
267,5570,127
268,44425,110
269,15015,146
270,12862,237
271,38625,154
272,4815,114
273,15549,49
274,28724,209
275,23853,102
276,38989,140
277,15624,60
278,4214,60
279,35648,9
280,33199,69
281,17359,77
282,22594,236
283,4541,224
284,43016,123
285,33205,229
286,36514,233
287,3269,56
288,39367,174
289,4086,207
290,35716,71
291,6344,65
292,48516,8
293,29052,114
294,13902,190
295,3109,88
296,16314,30
297,44169,90
298,26227,200
299,36333,204
300,33157,51
301,2706,198
302,47402,191
303,8646,119
304,6158,39
305,12466,82
306,31566,2
307,21275,49
308,18259,54
309,48912,174
310,27872,208
311,17844,159
312,27562,52
313,14704,154
314,37316,242
315,507,60
316,31315,241
317,36278,65
318,39274,131
319,35285,0
320,1453,120
321,2396,67
322,3582,53
323,42937,61
324,14374,208
325,12620,49
326,14545,23
327,14486,239
328,16404,58
329,40231,54
330,43725,192
331,15426,187
332,33959,212
333,3261,218
334,6340,64
335,45438,71
336,22978,36
337,9288,158
338,24850,127
339,41672,37
340,10379,150
341,42594,238
342,41820,64
343,9945,166
344,29237,198
345,9594,74
346,14407,200
347,21966,131
348,32337,47
349,36840,27
350,28715,233
351,14221,192
352,5164,118
353,21394,47
354,39292,11
355,2467,3
356,36415,205
357,11279,227
358,47984,61
359,24738,145
360,34937,193
361,32971,22
362,29443,18
363,7671,139
364,639,58
365,33229,187
366,40068,94
367,33940,175
368,2893,183
369,3617,65
370,42785,133
371,12262,13
372,38931,139
373,19424,139
374,45987,190
375,27781,109
376,37576,117
377,15818,94
378,20607,155
379,42951,221
380,48649,231
381,39811,42
382,17671,219
383,20652,14
384,23963,181
385,46996,46
386,37376,64
387,29316,186
388,8954,89
389,7845,231
390,15271,157
391,40101,225
392,13658,30
393,34165,188
394,6682,227
395,30621,114
396,11236,9
397,3482,230
398,16916,217
399,48913,24
400,9190,39
401,2222,238
402,28913,202
403,30516,162
404,8913,204
405,1092,203
406,33710,41
407,24782,107
408,40084,50
409,39810,148
410,31003,232
411,30506,51
412,33525,11
413,36612,29
414,17534,215
415,21915,147
416,47672,124
417,7185,185
418,5945,221
419,24215,150
420,8153,57
421,12016,172
422,31689,9
423,36763,110
424,8606,193
425,13579,205
426,12101,72
427,47967,216
428,40451,86
429,40218,85
430,47981,226
431,17856,42
432,30930,56
433,34985,209
434,43456,86
435,36103,180
436,36912,112
437,27647,88
438,31531,139
439,8223,181
440,4264,165
441,32648,15
442,9168,128
443,1988,1
444,39394,107
445,8038,203
446,20800,87
447,5741,144
448,43310,166
449,34522,50
450,47337,182
451,13827,113
452,25003,132
453,2062,79
454,1964,151
455,17407,119
456,40176,205
457,45651,142
458,38172,55
459,22554,232
460,2846,60
461,27579,96
462,42254,135
463,13341,134
464,30129,209
465,5880,131
466,26294,147
467,39275,182
468,41280,112
469,4898,97
470,34052,126
471,26336,70
472,46704,112
473,24061,57
474,143,166
475,24267,160
476,35297,235
477,33675,137
478,31007,53
479,11980,1
480,1266,236
481,29789,28
482,11103,114
483,31178,104
484,16720,62
485,21171,116
486,7375,106
487,2040,4
488,3798,238
489,38877,13
490,20728,167
491,21110,176
492,15144,176
493,3992,177
494,13233,7
495,4935,224
496,14697,179
497,25975,32
498,33385,170
499,14961,37
500,21211,213
501,13551,229
502,8005,72
503,409,76
504,37755,97
505,2058,127
506,24243,205
507,5400,52
508,23736,89
509,44168,177
510,46999,13
511,33970,117
512,27846,19
513,19055,49
514,17885,199
515,6532,219
516,22489,6
517,45783,20
518,22552,107
519,12010,207
520,32674,109
521,3365,159
522,42860,232
523,48308,151
524,3036,227
525,4229,82
526,16013,7
527,776,51
528,22602,39
529,14491,153
530,15708,183
531,4397,87
532,436,144
533,35659,23
534,34075,123
535,12158,72
536,26627,70
537,34261,130
538,28240,43
539,13574,22
540,12459,105
541,22607,33
542,49073,14
543,22651,5
544,14543,66
545,38988,166
546,6798,173
547,20048,171
548,5579,25
549,1343,33
550,32432,50
551,30145,213
552,43052,32
553,14379,34
554,44293,45
555,11908,18
556,406,22
557,2309,187
558,36130,103
559,25550,162
560,3605,6
561,39280,193
562,20480,105
563,14262,175
564,47757,136
565,27414,33
566,44519,194
567,8318,155
568,2776,119
569,42035,206
570,37654,82
571,14080,15
572,3193,209
573,5464,101
574,45872,181
575,32513,53
576,2174,146
577,21294,152
578,20441,214
579,45860,105
580,34064,127
581,34719,149
582,15479,32
583,5490,49
584,14074,7
585,13358,40
586,48641,30
587,22513,138
588,33965,152
589,39175,211
590,3272,4
591,47607,173
592,15088,154
593,46085,222
594,4983,241
595,40543,135
596,34023,135
597,4627,57
598,41329,56
599,30820,229
600,30204,140
601,29719,28
602,25618,170
603,48977,192
604,9427,217
605,3928,159
606,4036,51
607,3811,78
608,10722,84
609,6175,210
610,10308,211
611,36351,92
612,29184,11
613,14719,234
614,11653,100
615,45037,240
616,24240,218
617,48691,127
618,2758,7
619,30129,217
620,34774,115
621,24232,213
622,30716,66
623,17195,140
624,38803,119
625,15293,211
626,41767,97
627,29788,89
628,48896,13
629,29381,59
630,44767,207
631,16440,205
632,26854,30
633,10769,104
634,37081,102
635,1785,2
636,43774,236
637,28040,181
638,28414,16
639,43898,21
640,27019,16
641,29139,214
642,12895,172
